DateID,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,MonthName,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
230,2014-01-24,2014,1,24,1,4,5,Friday,January,0,0,0,0,0,0,0
231,2014-01-25,2014,1,25,1,4,6,Saturday,January,1,0,0,0,0,0,0
232,2014-01-26,2014,1,26,1,4,7,Sunday,January,1,0,0,0,0,0,0
233,2014-01-27,2014,1,27,1,5,1,Monday,January,0,0,0,0,0,0,0
234,2014-01-28,2014,1,28,1,5,2,Tuesday,January,0,0,0,0,0,0,0
235,2014-01-29,2014,1,29,1,5,3,Wednesday,January,0,0,0,0,0,0,0
236,2014-01-30,2014,1,30,1,5,4,Thursday,January,0,0,0,0,0,0,0
237,2014-01-31,2014,1,31,1,5,5,Friday,January,0,0,1,0,0,0,0
238,2014-02-01,2014,2,1,1,5,6,Saturday,February,1,1,0,0,0,0,0
239,2014-02-02,2014,2,2,1,5,7,Sunday,February,1,0,0,0,0,0,0
240,2014-02-03,2014,2,3,1,6,1,Monday,February,0,0,0,0,0,0,0
241,2014-02-04,2014,2,4,1,6,2,Tuesday,February,0,0,0,0,0,0,0
242,2014-02-05,2014,2,5,1,6,3,Wednesday,February,0,0,0,0,0,0,0
243,2014-02-06,2014,2,6,1,6,4,Thursday,February,0,0,0,0,0,0,0
244,2014-02-07,2014,2,7,1,6,5,Friday,February,0,0,0,0,0,0,0
245,2014-02-08,2014,2,8,1,6,6,Saturday,February,1,0,0,0,0,0,0
246,2014-02-09,2014,2,9,1,6,7,Sunday,February,1,0,0,0,0,0,0
247,2014-02-10,2014,2,10,1,7,1,Monday,February,0,0,0,0,0,0,0
248,2014-02-11,2014,2,11,1,7,2,Tuesday,February,0,0,0,0,0,0,0
249,2014-02-12,2014,2,12,1,7,3,Wednesday,February,0,0,0,0,0,0,0
250,2014-02-13,2014,2,13,1,7,4,Thursday,February,0,0,0,0,0,0,0
251,2014-02-14,2014,2,14,1,7,5,Friday,February,0,0,0,0,0,0,0
252,2014-02-15,2014,2,15,1,7,6,Saturday,February,1,0,0,0,0,0,0
253,2014-02-16,2014,2,16,1,7,7,Sunday,February,1,0,0,0,0,0,0
254,2014-02-17,2014,2,17,1,8,1,Monday,February,0,0,0,0,0,0,0
255,2014-02-18,2014,2,18,1,8,2,Tuesday,February,0,0,0,0,0,0,0
256,2014-02-19,2014,2,19,1,8,3,Wednesday,February,0,0,0,0,0,0,0
257,2014-02-20,2014,2,20,1,8,4,Thursday,February,0,0,0,0,0,0,0
258,2014-02-21,2014,2,21,1,8,5,Friday,February,0,0,0,0,0,0,0
259,2014-02-22,2014,2,22,1,8,6,Saturday,February,1,0,0,0,0,0,0
260,2014-02-23,2014,2,23,1,8,7,Sunday,February,1,0,0,0,0,0,0
261,2014-02-24,2014,2,24,1,9,1,Monday,February,0,0,0,0,0,0,0
262,2014-02-25,2014,2,25,1,9,2,Tuesday,February,0,0,0,0,0,0,0
263,2014-02-26,2014,2,26,1,9,3,Wednesday,February,0,0,0,0,0,0,0
264,2014-02-27,2014,2,27,1,9,4,Thursday,February,0,0,0,0,0,0,0
265,2014-02-28,2014,2,28,1,9,5,Friday,February,0,0,1,0,0,0,0
266,2014-03-01,2014,3,1,1,9,6,Saturday,March,1,1,0,0,0,0,0
267,2014-03-02,2014,3,2,1,9,7,Sunday,March,1,0,0,0,0,0,0
268,2014-03-03,2014,3,3,1,10,1,Monday,March,0,0,0,0,0,0,0
269,2014-03-04,2014,3,4,1,10,2,Tuesday,March,0,0,0,0,0,0,0
270,2014-03-05,2014,3,5,1,10,3,Wednesday,March,0,0,0,0,0,0,0
271,2014-03-06,2014,3,6,1,10,4,Thursday,March,0,0,0,0,0,0,0
272,2014-03-07,2014,3,7,1,10,5,Friday,March,0,0,0,0,0,0,0
273,2014-03-08,2014,3,8,1,10,6,Saturday,March,1,0,0,0,0,0,0
274,2014-03-09,2014,3,9,1,10,7,Sunday,March,1,0,0,0,0,0,0
275,2014-03-10,2014,3,10,1,11,1,Monday,March,0,0,0,0,0,0,0
276,2014-03-11,2014,3,11,1,11,2,Tuesday,March,0,0,0,0,0,0,0
277,2014-03-12,2014,3,12,1,11,3,Wednesday,March,0,0,0,0,0,0,0
278,2014-03-13,2014,3,13,1,11,4,Thursday,March,0,0,0,0,0,0,0
279,2014-03-14,2014,3,14,1,11,5,Friday,March,0,0,0,0,0,0,0
280,2014-03-15,2014,3,15,1,11,6,Saturday,March,1,0,0,0,0,0,0
